investor_id,num_sips,avg_gap_days,max_gap_days,at_risk,age_group,city
INV001951,7,58.8,124,Yes,26-35,Chandigarh
INV001954,6,86.8,273,Yes,26-35,Agra
INV001955,6,76.0,199,Yes,26-35,Bhopal
INV001961,6,83.4,234,Yes,26-35,Gurugram
INV001969,6,79.2,163,Yes,26-35,Kanpur
INV001971,8,54.7,87,Yes,26-35,Ahmedabad
INV001972,8,42.4,153,Yes,18-25,Kanpur
INV001978,6,83.2,112,Yes,36-45,Hyderabad
INV001979,6,55.4,100,Yes,26-35,Pune
INV001982,6,85.8,289,Yes,26-35,Mysore
INV001986,7,47.7,98,Yes,36-45,Indore
INV001987,7,67.0,241,Yes,18-25,Coimbatore
INV001990,8,45.3,91,Yes,26-35,Amritsar
INV001993,6,56.6,147,Yes,36-45,Agra
INV001995,6,48.6,94,Yes,26-35,Surat
INV001997,6,88.6,168,Yes,56+,New Delhi
INV002001,6,84.8,335,Yes,36-45,Kanpur
INV002006,6,73.6,157,Yes,26-35,Chandigarh
INV002010,6,74.6,103,Yes,56+,Agra
INV002017,7,44.7,99,Yes,26-35,Mysore
INV002018,6,63.6,106,Yes,26-35,Agra
INV002019,6,68.8,117,Yes,36-45,New Delhi
INV002025,7,55.8,92,Yes,26-35,Mysore
INV002033,7,55.0,123,Yes,46-55,Ahmedabad
INV002034,8,69.0,166,Yes,26-35,Lucknow
INV002037,6,33.2,61,Yes,56+,New Delhi
INV002038,6,84.0,202,Yes,26-35,Bhopal
INV002051,6,78.6,159,Yes,46-55,Ahmedabad
INV002052,7,44.2,114,Yes,36-45,Lucknow
INV002069,10,47.6,95,Yes,46-55,Kolkata
INV002070,7,81.3,118,Yes,36-45,Hyderabad
INV002083,10,51.7,193,Yes,26-35,Surat
INV002085,6,65.0,220,Yes,56+,Hyderabad
INV002090,6,90.2,231,Yes,26-35,Mumbai
INV002092,7,33.5,54,Yes,18-25,Amritsar
INV002101,6,80.2,248,Yes,26-35,Lucknow
INV002102,6,44.8,63,Yes,26-35,Bhopal
INV002107,8,71.1,298,Yes,26-35,Hyderabad
INV002111,8,62.4,123,Yes,36-45,Hyderabad
INV002119,6,78.0,195,Yes,26-35,Coimbatore
INV002121,7,68.5,197,Yes,18-25,Bhopal
INV002122,7,40.3,97,Yes,46-55,Ahmedabad
INV002127,6,60.2,113,Yes,18-25,Udaipur
INV002134,7,82.7,180,Yes,26-35,Udaipur
INV002138,6,91.8,189,Yes,46-55,Bangalore
INV002142,9,45.5,162,Yes,18-25,Chennai
INV002143,8,63.6,148,Yes,26-35,Lucknow
INV002149,8,42.3,215,Yes,26-35,Coimbatore
INV002150,6,73.6,216,Yes,26-35,Kanpur
INV002151,9,60.4,201,Yes,26-35,Jaipur
INV002153,7,67.8,194,Yes,18-25,Nashik
INV002154,6,89.4,175,Yes,36-45,Lucknow
INV002155,6,78.0,190,Yes,56+,Hyderabad
INV002157,7,58.5,142,Yes,26-35,Chandigarh
INV002159,6,65.0,104,Yes,26-35,Gurugram
INV002162,9,58.4,198,Yes,46-55,Indore
INV002166,6,99.2,248,Yes,36-45,Gurugram
INV002171,7,55.8,150,Yes,56+,Hyderabad
INV002177,7,73.0,330,Yes,26-35,Gurugram
INV002178,8,66.4,236,Yes,36-45,Ahmedabad
INV002179,8,54.1,171,Yes,26-35,Gurugram
INV002182,7,70.5,148,Yes,36-45,Bhopal
INV002185,6,48.4,92,Yes,26-35,Chandigarh
INV002186,7,74.8,167,Yes,18-25,Faridabad
INV002187,7,67.8,221,Yes,36-45,Chennai
INV002195,9,49.2,154,Yes,26-35,Hyderabad
INV002196,8,62.1,115,Yes,26-35,Gurugram
INV002198,9,43.0,93,Yes,36-45,Gurugram
INV002199,7,50.8,94,Yes,26-35,Ahmedabad
INV002202,8,70.4,276,Yes,18-25,Indore
INV002206,7,49.0,141,Yes,18-25,Chennai
INV002208,7,71.3,142,Yes,56+,Chandigarh
INV002211,7,63.8,109,Yes,26-35,Surat
INV002216,8,61.7,172,Yes,46-55,Mumbai
INV002218,6,67.8,181,Yes,36-45,Amritsar
INV002219,8,70.9,166,Yes,26-35,Mysore
INV002228,6,68.6,109,Yes,18-25,Kanpur
INV002229,6,64.6,101,Yes,36-45,Jaipur
INV002230,8,57.6,171,Yes,36-45,Noida
INV002232,7,69.2,174,Yes,26-35,Bangalore
INV002236,7,73.7,119,Yes,26-35,New Delhi
INV002237,7,51.7,142,Yes,46-55,Agra
INV002240,7,77.8,266,Yes,26-35,Faridabad
INV002241,7,65.7,124,Yes,36-45,Amritsar
INV002251,6,62.6,157,Yes,26-35,Chandigarh
INV002256,6,75.6,115,Yes,46-55,Jaipur
INV002259,7,45.3,89,Yes,18-25,Bhopal
INV002260,6,77.8,235,Yes,26-35,Hyderabad
INV002265,7,63.2,244,Yes,18-25,Jaipur
INV002277,7,67.3,127,Yes,26-35,Gurugram
INV002280,7,71.7,182,Yes,18-25,Mysore
INV002282,6,53.2,102,Yes,36-45,Kolkata
INV002284,6,85.0,277,Yes,36-45,Bangalore
INV002290,6,61.6,112,Yes,36-45,Ahmedabad
INV002294,8,48.7,163,Yes,26-35,Gurugram
INV002295,7,64.5,159,Yes,26-35,Hyderabad
INV002298,6,23.2,37,Yes,56+,Nashik
INV002304,10,42.6,104,Yes,46-55,Mysore
INV002315,7,71.8,174,Yes,18-25,Faridabad
INV002319,7,60.0,123,Yes,26-35,Mysore
INV002322,6,63.4,102,Yes,18-25,Chennai
INV002327,6,76.4,215,Yes,26-35,Amritsar
INV002329,7,57.0,183,Yes,56+,Indore
INV002342,6,74.2,212,Yes,26-35,Mumbai
INV002343,9,57.8,115,Yes,26-35,Amritsar
INV002347,9,40.5,79,Yes,26-35,New Delhi
INV002348,6,94.4,166,Yes,26-35,Agra
INV002349,6,52.2,75,Yes,26-35,Amritsar
INV002351,6,77.2,204,Yes,36-45,Ahmedabad
INV002357,7,68.3,240,Yes,26-35,Gurugram
INV002360,9,56.1,129,Yes,26-35,Mumbai
INV002361,6,55.4,198,Yes,36-45,Surat
INV002367,7,52.5,134,Yes,26-35,Hyderabad
INV002368,7,61.2,215,Yes,26-35,Hyderabad
INV002369,6,60.0,136,Yes,36-45,Bhopal
INV002370,7,70.2,237,Yes,26-35,Noida
INV002372,6,95.2,133,Yes,36-45,Pune
INV002373,8,70.1,154,Yes,36-45,Pune
INV002374,6,21.2,34,No,26-35,Kanpur
INV002384,10,39.1,92,Yes,26-35,Mysore
INV002388,6,33.2,84,Yes,18-25,Faridabad
INV002389,10,50.8,126,Yes,36-45,Faridabad
INV002390,6,47.0,100,Yes,56+,Kanpur
INV002391,6,40.2,124,Yes,18-25,Bhopal
INV002395,6,97.0,225,Yes,26-35,Kolkata
INV002400,9,55.4,141,Yes,36-45,Chandigarh
INV002401,8,59.1,125,Yes,26-35,Kolkata
INV002402,7,47.2,89,Yes,46-55,Lucknow
INV002407,7,47.8,167,Yes,36-45,Kolkata
INV002409,8,55.6,125,Yes,18-25,Amritsar
INV002413,8,53.0,189,Yes,26-35,Surat
INV002415,8,57.4,110,Yes,36-45,Kolkata
INV002417,7,83.3,190,Yes,26-35,Coimbatore
INV002418,6,91.6,128,Yes,36-45,Faridabad
INV002420,6,72.8,107,Yes,26-35,Mysore
INV002422,10,50.3,139,Yes,36-45,Chennai
INV002429,6,78.6,216,Yes,26-35,Udaipur
INV002434,6,88.2,217,Yes,26-35,Agra
INV002437,7,49.2,212,Yes,26-35,Faridabad
INV002445,8,38.1,117,Yes,26-35,Chandigarh
INV002453,7,63.0,87,Yes,26-35,Surat
INV002458,6,72.4,232,Yes,18-25,Kolkata
INV002459,8,53.7,161,Yes,18-25,Udaipur
INV002463,6,95.4,236,Yes,18-25,Amritsar
INV002464,6,35.4,97,Yes,26-35,Bangalore
INV002466,7,80.7,270,Yes,36-45,Indore
INV002467,8,38.9,116,Yes,36-45,Chandigarh
INV002471,6,56.4,98,Yes,18-25,Chandigarh
INV002475,10,49.7,119,Yes,26-35,New Delhi
INV002476,6,86.0,235,Yes,36-45,Hyderabad
INV002485,6,70.4,136,Yes,46-55,Mysore
INV002490,8,70.0,125,Yes,36-45,Surat
INV002495,6,82.2,174,Yes,26-35,Nashik
INV002496,6,53.0,156,Yes,36-45,Mysore
INV002497,8,67.3,152,Yes,26-35,Hyderabad
INV002508,9,51.6,171,Yes,46-55,Kolkata
INV002509,10,33.7,74,Yes,36-45,Mumbai
INV002510,7,64.3,176,Yes,36-45,Mysore
INV002521,6,74.6,206,Yes,26-35,Chandigarh
INV002527,7,49.7,93,Yes,18-25,Hyderabad
INV002530,8,71.4,175,Yes,36-45,Hyderabad
INV002531,7,76.3,182,Yes,36-45,Udaipur
INV002543,7,74.7,116,Yes,18-25,Indore
INV002547,6,89.0,181,Yes,26-35,Gurugram
INV002552,10,48.2,184,Yes,36-45,Gurugram
INV002554,7,49.7,100,Yes,18-25,Bhopal
INV002555,7,72.0,172,Yes,36-45,Ahmedabad
INV002557,7,67.2,264,Yes,26-35,Kolkata
INV002558,6,97.6,297,Yes,26-35,Faridabad
INV002560,6,95.2,155,Yes,26-35,Faridabad
INV002563,6,65.8,114,Yes,18-25,Indore
INV002567,6,82.0,127,Yes,36-45,Indore
INV002568,8,61.6,144,Yes,26-35,Lucknow
INV002570,7,62.0,150,Yes,36-45,Chandigarh
INV002572,8,55.7,108,Yes,56+,Jaipur
INV002574,6,79.4,139,Yes,26-35,Nashik
INV002575,9,56.1,128,Yes,18-25,Kolkata
INV002579,6,40.8,71,Yes,36-45,Mumbai
INV002582,6,77.4,173,Yes,26-35,Hyderabad
INV002585,6,65.0,124,Yes,18-25,Lucknow
INV002586,6,87.2,168,Yes,26-35,Kolkata
INV002590,10,50.2,125,Yes,36-45,Kolkata
INV002591,6,52.2,139,Yes,18-25,Ahmedabad
INV002594,6,94.0,244,Yes,26-35,Gurugram
INV002598,9,51.4,179,Yes,26-35,Lucknow
INV002602,8,66.0,151,Yes,56+,Surat
INV002606,6,89.6,248,Yes,26-35,Hyderabad
INV002613,8,65.0,143,Yes,46-55,Bangalore
INV002622,7,76.7,244,Yes,18-25,Mysore
INV002627,6,85.0,182,Yes,26-35,Kolkata
INV002628,6,77.0,322,Yes,26-35,Agra
INV002632,8,65.6,180,Yes,26-35,Chennai
INV002640,7,70.0,153,Yes,56+,Faridabad
INV002643,6,74.2,229,Yes,36-45,Hyderabad
INV002645,7,45.2,133,Yes,46-55,Gurugram
INV002654,8,61.9,115,Yes,36-45,New Delhi
INV002659,7,62.3,224,Yes,36-45,Bhopal
INV002666,7,53.2,100,Yes,46-55,Bhopal
INV002671,7,77.2,163,Yes,18-25,Indore
INV002673,8,65.0,147,Yes,26-35,Mumbai
INV002674,6,75.8,153,Yes,26-35,Mysore
INV002675,8,63.9,138,Yes,36-45,Agra
INV002681,7,83.7,161,Yes,18-25,Nashik
INV002684,6,80.6,266,Yes,36-45,New Delhi
INV002688,9,37.0,122,Yes,26-35,Lucknow
INV002689,8,50.0,115,Yes,26-35,Bhopal
INV002693,7,45.8,72,Yes,26-35,Kanpur
INV002697,7,55.3,199,Yes,26-35,Kolkata
INV002700,7,79.8,140,Yes,26-35,Coimbatore
INV002704,8,59.1,139,Yes,36-45,Noida
INV002705,8,22.6,70,Yes,46-55,Lucknow
INV002706,6,73.6,133,Yes,46-55,Faridabad
INV002711,8,65.6,230,Yes,26-35,Gurugram
INV002712,11,46.8,174,Yes,46-55,Bangalore
INV002722,6,61.4,178,Yes,36-45,Noida
INV002723,9,37.8,102,Yes,36-45,Kolkata
INV002724,6,76.6,187,Yes,36-45,Udaipur
INV002726,8,45.6,84,Yes,36-45,Ahmedabad
INV002732,8,70.7,151,Yes,18-25,Lucknow
INV002733,8,51.6,150,Yes,26-35,Chandigarh
INV002735,7,68.2,136,Yes,18-25,Coimbatore
INV002736,6,70.6,323,Yes,18-25,Mysore
INV002737,8,58.4,104,Yes,18-25,Ahmedabad
INV002743,6,88.2,190,Yes,56+,Gurugram
INV002744,10,52.9,139,Yes,36-45,Bangalore
INV002746,8,68.0,206,Yes,26-35,Noida
INV002750,6,72.4,254,Yes,36-45,Bhopal
INV002751,7,41.5,102,Yes,36-45,New Delhi
INV002758,6,81.0,263,Yes,26-35,Gurugram
INV002761,6,80.6,312,Yes,26-35,Jaipur
INV002766,6,70.6,151,Yes,26-35,Chandigarh
INV002767,7,55.3,145,Yes,26-35,Indore
INV002769,7,82.0,141,Yes,18-25,Pune
INV002772,7,74.5,168,Yes,26-35,Faridabad
INV002779,6,64.2,151,Yes,26-35,Lucknow
INV002783,7,64.0,126,Yes,26-35,Kolkata
INV002786,7,76.3,124,Yes,26-35,Coimbatore
INV002793,7,59.3,125,Yes,36-45,Bhopal
INV002794,7,56.2,111,Yes,56+,Bhopal
INV002799,6,70.8,129,Yes,36-45,Lucknow
INV002800,7,63.5,108,Yes,36-45,Kolkata
INV002803,7,64.8,176,Yes,36-45,Agra
INV002804,8,59.9,209,Yes,36-45,Indore
INV002808,7,59.7,120,Yes,26-35,Agra
INV002809,6,81.4,276,Yes,36-45,Agra
INV002810,8,32.3,139,Yes,36-45,Amritsar
INV002813,7,49.0,149,Yes,26-35,Chandigarh
INV002822,7,53.0,108,Yes,46-55,Bangalore
INV002824,7,71.8,223,Yes,56+,Jaipur
INV002826,6,61.6,91,Yes,26-35,Gurugram
INV002827,6,73.6,200,Yes,36-45,Mysore
INV002828,6,80.0,211,Yes,26-35,Kolkata
INV002831,6,40.2,72,Yes,56+,Hyderabad
INV002835,7,82.3,233,Yes,26-35,Faridabad
INV002838,8,56.7,116,Yes,56+,Kolkata
INV002841,6,43.4,102,Yes,26-35,Kanpur
INV002843,8,43.1,128,Yes,26-35,Faridabad
INV002847,10,52.7,129,Yes,26-35,Faridabad
INV002850,7,53.2,166,Yes,46-55,Lucknow
INV002852,6,75.8,207,Yes,46-55,Kolkata
INV002859,7,76.5,198,Yes,26-35,Indore
INV002863,6,74.4,199,Yes,36-45,Udaipur
INV002865,6,37.2,50,Yes,18-25,Pune
INV002870,6,48.2,109,Yes,26-35,Mysore
INV002872,6,85.6,199,Yes,36-45,Kolkata
INV002873,6,98.2,235,Yes,18-25,Gurugram
INV002879,7,72.2,125,Yes,46-55,Coimbatore
INV002881,6,43.6,110,Yes,26-35,Agra
INV002883,6,96.0,176,Yes,26-35,Kolkata
INV002886,7,44.3,137,Yes,18-25,Chennai
INV002891,8,72.7,166,Yes,36-45,Faridabad
INV002893,9,50.0,148,Yes,56+,Hyderabad
INV002900,6,64.2,136,Yes,26-35,Faridabad
INV002903,6,89.6,176,Yes,36-45,Indore
INV002904,7,49.3,104,Yes,36-45,Kolkata
INV002905,6,73.0,221,Yes,36-45,Chennai
INV002906,6,41.2,74,Yes,26-35,Hyderabad
INV002909,7,82.3,263,Yes,36-45,Udaipur
INV002912,6,97.0,342,Yes,26-35,Mumbai
INV002913,7,73.7,168,Yes,56+,New Delhi
INV002915,8,49.3,117,Yes,18-25,Kolkata
INV002921,7,53.3,121,Yes,18-25,Amritsar
INV002927,8,40.3,79,Yes,56+,Amritsar
INV002935,7,48.0,72,Yes,18-25,Indore
INV002937,7,67.2,184,Yes,56+,Jaipur
INV002939,7,60.5,127,Yes,18-25,Udaipur
INV002942,9,55.5,180,Yes,36-45,Noida
INV002945,8,65.0,139,Yes,26-35,Nashik
INV002947,7,64.2,152,Yes,46-55,Nashik
INV002950,8,45.9,119,Yes,46-55,Indore
INV002951,7,51.8,82,Yes,36-45,Bangalore
INV002961,7,84.7,231,Yes,26-35,Ahmedabad
INV002974,7,51.3,105,Yes,26-35,Hyderabad
INV002984,6,91.0,200,Yes,26-35,Gurugram
INV002989,6,86.6,182,Yes,46-55,Faridabad
INV002994,7,58.2,142,Yes,18-25,Mysore
INV003000,7,67.0,137,Yes,36-45,Gurugram
INV003003,9,58.2,100,Yes,18-25,Kolkata
INV003005,8,53.1,107,Yes,26-35,Amritsar
INV003007,9,48.2,162,Yes,26-35,Faridabad
INV003009,9,38.1,84,Yes,26-35,Bangalore
INV003011,7,64.2,154,Yes,18-25,Ahmedabad
INV003014,6,82.4,144,Yes,26-35,Bangalore
INV003015,7,54.7,91,Yes,18-25,Indore
INV003018,6,49.2,156,Yes,36-45,Gurugram
INV003022,6,69.6,123,Yes,46-55,Hyderabad
INV003024,6,44.2,122,Yes,36-45,Pune
INV003025,8,35.3,65,Yes,26-35,Surat
INV003028,6,91.4,183,Yes,26-35,Chennai
INV003034,6,73.4,118,Yes,26-35,Chennai
INV003036,8,57.7,138,Yes,26-35,Hyderabad
INV003037,7,79.5,300,Yes,18-25,Hyderabad
INV003040,6,74.0,194,Yes,26-35,Bangalore
INV003043,7,73.8,131,Yes,26-35,Bangalore
INV003044,7,71.2,237,Yes,18-25,Kolkata
INV003045,6,36.2,71,Yes,26-35,Hyderabad
INV003047,8,70.1,215,Yes,46-55,Mumbai
INV003054,7,78.7,209,Yes,56+,Hyderabad
INV003060,7,79.0,135,Yes,56+,Jaipur
INV003063,7,57.8,112,Yes,36-45,Mumbai
INV003070,9,54.5,132,Yes,26-35,Kolkata
INV003074,6,74.8,123,Yes,26-35,Faridabad
INV003075,8,57.4,128,Yes,46-55,Gurugram
INV003078,7,69.2,126,Yes,36-45,Gurugram
INV003082,8,46.4,142,Yes,26-35,Hyderabad
INV003083,6,66.4,169,Yes,56+,Bhopal
INV003089,6,65.0,107,Yes,26-35,Agra
INV003091,9,50.9,199,Yes,36-45,New Delhi
INV003095,6,86.6,175,Yes,18-25,Bhopal
INV003097,8,62.7,121,Yes,26-35,Chandigarh
INV003105,7,65.5,140,Yes,18-25,Jaipur
INV003112,6,91.6,173,Yes,26-35,Pune
INV003113,8,66.9,159,Yes,26-35,Jaipur
INV003115,6,48.0,125,Yes,26-35,Surat
INV003117,8,66.6,115,Yes,18-25,Chennai
INV003134,7,76.8,172,Yes,36-45,Hyderabad
INV003139,7,55.2,133,Yes,36-45,Mysore
INV003140,8,57.0,125,Yes,26-35,Kolkata
INV003141,7,67.5,225,Yes,36-45,Pune
INV003144,7,82.5,243,Yes,36-45,Gurugram
INV003146,9,59.5,283,Yes,26-35,Udaipur
INV003151,6,81.0,146,Yes,56+,Coimbatore
INV003153,7,40.7,156,Yes,36-45,Indore
INV003158,9,55.6,138,Yes,26-35,Mysore
INV003161,6,77.4,118,Yes,36-45,Kanpur
INV003169,6,62.6,178,Yes,26-35,Hyderabad
INV003178,6,56.4,84,Yes,46-55,Hyderabad
INV003179,9,56.2,151,Yes,36-45,Jaipur
INV003185,6,65.2,116,Yes,26-35,Udaipur
INV003187,9,58.2,244,Yes,26-35,Faridabad
INV003189,9,55.1,198,Yes,36-45,Chennai
INV003191,6,76.8,138,Yes,18-25,Bhopal
INV003193,6,96.6,294,Yes,36-45,Jaipur
INV003196,7,80.3,319,Yes,26-35,Kolkata
INV003205,7,67.7,111,Yes,26-35,Chandigarh
INV003210,6,72.2,112,Yes,36-45,Faridabad
INV003211,7,69.0,104,Yes,36-45,Lucknow
INV003214,6,59.8,170,Yes,36-45,Chandigarh
INV003215,7,60.8,105,Yes,26-35,Surat
INV003219,6,57.2,86,Yes,46-55,Pune
INV003221,7,61.2,99,Yes,26-35,Mysore
INV003222,7,81.5,190,Yes,56+,Amritsar
INV003223,8,67.7,331,Yes,26-35,Coimbatore
INV003228,7,70.2,256,Yes,26-35,Bhopal
INV003230,7,67.5,251,Yes,18-25,Amritsar
INV003231,7,83.0,253,Yes,26-35,Gurugram
INV003234,6,96.6,188,Yes,26-35,Hyderabad
INV003236,9,51.1,115,Yes,18-25,Bhopal
INV003242,7,61.0,159,Yes,26-35,Chandigarh
INV003247,6,84.6,206,Yes,46-55,Indore
INV003252,6,67.6,192,Yes,46-55,Chennai
INV003256,7,51.0,90,Yes,46-55,Amritsar
INV003257,6,61.8,139,Yes,56+,Jaipur
INV003260,6,89.4,247,Yes,18-25,Indore
INV003262,6,85.2,162,Yes,46-55,Hyderabad
INV003267,6,74.4,197,Yes,36-45,Udaipur
INV003271,7,61.2,157,Yes,18-25,Kolkata
INV003273,8,60.1,134,Yes,36-45,Faridabad
INV003277,8,53.7,192,Yes,18-25,Jaipur
INV003279,9,63.4,147,Yes,46-55,Jaipur
INV003289,7,64.8,183,Yes,26-35,Lucknow
INV003300,6,64.8,219,Yes,36-45,Agra
INV003301,9,59.4,113,Yes,26-35,Udaipur
INV003304,10,44.2,180,Yes,18-25,Hyderabad
INV003308,9,56.8,141,Yes,56+,Hyderabad
INV003310,6,80.8,154,Yes,26-35,Hyderabad
INV003311,9,48.0,149,Yes,26-35,Bhopal
INV003314,7,73.5,210,Yes,36-45,Hyderabad
INV003317,8,44.1,71,Yes,18-25,New Delhi
INV003320,8,45.3,192,Yes,56+,Coimbatore
INV003325,6,101.0,155,Yes,26-35,Faridabad
INV003329,6,89.0,230,Yes,56+,Indore
INV003336,7,72.3,133,Yes,46-55,Amritsar
INV003338,9,37.5,155,Yes,46-55,Faridabad
INV003344,6,86.6,190,Yes,36-45,Gurugram
INV003350,6,92.4,191,Yes,46-55,Nashik
INV003351,6,54.0,86,Yes,26-35,New Delhi
INV003352,8,68.1,279,Yes,36-45,Mumbai
INV003357,6,62.4,100,Yes,26-35,Bhopal
INV003360,8,59.4,163,Yes,26-35,Indore
INV003370,7,63.3,206,Yes,56+,Mysore
INV003372,6,59.4,118,Yes,36-45,Mysore
INV003374,7,56.5,128,Yes,26-35,Mysore
INV003375,8,52.7,158,Yes,56+,Hyderabad
INV003376,6,85.8,199,Yes,36-45,New Delhi
INV003379,7,75.2,268,Yes,36-45,Lucknow
INV003380,6,72.4,155,Yes,36-45,Noida
INV003382,6,34.2,85,Yes,26-35,Bangalore
INV003391,6,56.6,193,Yes,26-35,Kolkata
INV003393,8,63.7,178,Yes,26-35,New Delhi
INV003395,6,79.0,192,Yes,36-45,Ahmedabad
INV003398,8,55.4,140,Yes,36-45,Bangalore
INV003403,6,56.6,116,Yes,18-25,Bhopal
INV003404,8,50.3,198,Yes,36-45,Chennai
INV003405,8,41.0,186,Yes,26-35,Jaipur
INV003406,8,59.0,251,Yes,26-35,Bhopal
INV003407,8,57.4,146,Yes,26-35,Kolkata
INV003422,7,84.7,167,Yes,26-35,Lucknow
INV003424,7,73.2,124,Yes,26-35,Indore
INV003427,6,84.2,266,Yes,18-25,Kolkata
INV003430,6,73.4,104,Yes,26-35,Ahmedabad
INV003431,6,51.4,152,Yes,18-25,Mysore
INV003432,7,61.3,97,Yes,56+,Agra
INV003435,7,73.8,140,Yes,26-35,Nashik
INV003437,6,91.2,226,Yes,46-55,Amritsar
INV003448,7,74.5,200,Yes,26-35,Udaipur
INV003450,10,47.7,158,Yes,18-25,Nashik
INV003455,7,35.5,76,Yes,46-55,Coimbatore
INV003457,7,60.5,117,Yes,36-45,Bangalore
INV003458,8,67.9,206,Yes,36-45,Surat
INV003459,6,59.4,113,Yes,26-35,Mysore
INV003473,6,95.8,213,Yes,26-35,Hyderabad
INV003475,9,56.0,155,Yes,26-35,Hyderabad
INV003478,9,56.6,195,Yes,26-35,Chandigarh
INV003479,8,65.7,164,Yes,36-45,Kolkata
INV003480,6,82.4,211,Yes,26-35,Bhopal
INV003484,6,73.8,333,Yes,26-35,Bhopal
INV003487,6,70.6,155,Yes,26-35,Ahmedabad
INV003491,9,59.1,119,Yes,46-55,Noida
INV003492,6,90.8,162,Yes,36-45,Ahmedabad
INV003495,10,49.2,121,Yes,26-35,Kolkata
INV003506,7,67.0,132,Yes,56+,Chennai
INV003509,9,60.9,149,Yes,36-45,Gurugram
INV003511,8,65.6,183,Yes,46-55,Gurugram
INV003514,6,74.2,172,Yes,36-45,Gurugram
INV003518,6,67.8,157,Yes,26-35,Bhopal
INV003521,6,89.0,183,Yes,46-55,Jaipur
INV003524,7,64.2,203,Yes,36-45,Hyderabad
INV003526,6,88.2,224,Yes,36-45,Nashik
INV003528,9,58.6,186,Yes,18-25,Bhopal
INV003530,6,51.0,101,Yes,26-35,Pune
INV003531,6,76.4,185,Yes,36-45,Gurugram
INV003534,8,52.7,160,Yes,46-55,Indore
INV003545,6,90.0,210,Yes,26-35,Ahmedabad
INV003556,6,77.6,129,Yes,18-25,Mysore
INV003557,6,66.4,156,Yes,46-55,Bangalore
INV003558,7,39.2,66,Yes,18-25,Lucknow
INV003559,10,48.3,118,Yes,26-35,Kanpur
INV003562,7,80.5,165,Yes,26-35,Kolkata
INV003564,8,71.0,292,Yes,18-25,Hyderabad
INV003580,7,72.2,227,Yes,26-35,Ahmedabad
INV003581,8,51.3,95,Yes,56+,Coimbatore
INV003582,7,49.3,167,Yes,36-45,Kanpur
INV003586,8,54.3,113,Yes,46-55,Faridabad
INV003592,6,75.6,202,Yes,56+,Indore
INV003593,6,78.2,166,Yes,26-35,Bangalore
INV003598,8,68.0,114,Yes,26-35,Gurugram
INV003599,6,50.0,100,Yes,46-55,Indore
INV003601,9,45.2,118,Yes,26-35,Faridabad
INV003604,6,90.2,188,Yes,18-25,Chandigarh
INV003607,6,70.4,253,Yes,18-25,Gurugram
INV003611,7,68.8,228,Yes,18-25,Kanpur
INV003613,8,67.4,283,Yes,26-35,Amritsar
INV003619,6,72.0,113,Yes,18-25,Kolkata
INV003625,6,62.4,168,Yes,26-35,Hyderabad
INV003627,7,59.2,152,Yes,36-45,Hyderabad
INV003630,7,52.0,96,Yes,18-25,Bangalore
INV003633,6,78.8,119,Yes,26-35,Bhopal
INV003634,6,47.8,83,Yes,46-55,Chandigarh
INV003635,10,47.1,95,Yes,56+,Kolkata
INV003641,8,67.0,219,Yes,26-35,Hyderabad
INV003642,7,53.2,217,Yes,18-25,Faridabad
INV003645,6,95.2,257,Yes,26-35,Amritsar
INV003649,6,96.8,195,Yes,46-55,Gurugram
INV003650,11,33.9,86,Yes,46-55,Hyderabad
INV003654,7,60.5,124,Yes,18-25,New Delhi
INV003655,10,49.8,198,Yes,36-45,Bhopal
INV003658,8,70.7,143,Yes,26-35,Kolkata
INV003660,6,79.0,164,Yes,26-35,Noida
INV003669,7,53.5,98,Yes,18-25,Kolkata
INV003670,8,70.9,160,Yes,36-45,Chandigarh
INV003672,6,77.2,180,Yes,36-45,Agra
INV003673,8,68.9,160,Yes,26-35,Mumbai
INV003678,6,32.8,45,Yes,26-35,Ahmedabad
INV003681,9,51.0,101,Yes,26-35,Hyderabad
INV003683,6,92.4,165,Yes,26-35,Hyderabad
INV003684,6,98.2,229,Yes,36-45,Bangalore
INV003685,6,80.2,132,Yes,26-35,Ahmedabad
INV003686,6,96.6,328,Yes,18-25,Surat
INV003693,7,71.3,234,Yes,36-45,Bhopal
INV003695,7,51.7,157,Yes,36-45,Bangalore
INV003696,6,75.8,190,Yes,18-25,Coimbatore
INV003697,7,76.7,163,Yes,18-25,Mumbai
INV003702,7,72.7,118,Yes,36-45,Bhopal
INV003705,6,78.8,152,Yes,26-35,Hyderabad
INV003707,6,68.6,152,Yes,36-45,Hyderabad
INV003708,7,60.5,104,Yes,46-55,Amritsar
INV003709,6,80.2,181,Yes,46-55,Agra
INV003710,6,78.6,118,Yes,26-35,Udaipur
INV003711,6,72.2,145,Yes,36-45,Hyderabad
INV003712,6,79.6,163,Yes,46-55,Pune
INV003713,7,81.5,161,Yes,36-45,Kolkata
INV003718,6,91.4,284,Yes,46-55,Hyderabad
INV003720,6,74.6,116,Yes,36-45,Bhopal
INV003722,7,50.7,135,Yes,36-45,Nashik
INV003723,6,61.8,124,Yes,26-35,Chennai
INV003724,7,68.0,169,Yes,56+,Amritsar
INV003733,6,88.8,174,Yes,26-35,Hyderabad
INV003734,8,59.0,290,Yes,56+,Coimbatore
INV003735,8,45.9,104,Yes,36-45,Ahmedabad
INV003736,7,77.2,120,Yes,18-25,Mysore
